Id,FullName,KnownName,Nationality,ShirtNumber,PreferredFoot,TeamId,PhotoUrl,Position,CreatedAt,UpdatedAt
2948,Nabil Fekir,Nabil Fekir,France,8,Left,5,,CAM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
2950,Jonas Martin,Jonas Martin,France,8,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
2961,Yann Bodiger,Yann Bodiger,France,12,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3023,Yuri Berchiche Izeta,Yuri Berchiche Izeta,Spain,17,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3042,Mikel Merino Zazón,Mikel Merino Zazón,Spain,8,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3058,Javier Hernández Balcázar,Javier Hernández Balcázar,Mexico,14,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3063,Danilo Luiz da Silva,Danilo Luiz da Silva,Brazil,23,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3084,Christian Atsu Twasam,Christian Atsu Twasam,Ghana,11,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3093,Florian Grégoire Claude Lejeune,Florian Grégoire Claude Lejeune,France,22,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3109,Malcom Filipe Silva de Oliveira,Malcom Filipe Silva de Oliveira,Brazil,14,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3122,Yannis Salibur,Yannis Salibur,France,16,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3130,Gaël Kakuta,Gaël Kakuta,"Congo, (Kinshasa)",23,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3139,Chidozie Collins Awaziem,Chidozie Collins Awaziem,Nigeria,12,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3141,André-Frank Zambo Anguissa,André-Frank Zambo Anguissa,Cameroon,19,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3160,Rene Krhin,Rene Krhin,Slovenia,21,Right,5,,DM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3163,Mariano Díaz Mejía,Mariano Díaz Mejía,Dominican Republic,24,Left,5,,LF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3165,Emmanuel Rivière,Emmanuel Rivière,Martinique,12,Right,5,,CF,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3218,Marcos Paulo Mesquita Lopes,Marcos Paulo Mesquita Lopes,Portugal,7,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3236,Sergi Darder Moll,Sergi Darder Moll,Spain,10,Both,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3240,Mathew Ryan,Mathew Ryan,Australia,25,Right,5,,GK,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3245,Thomas Lemar,Thomas Lemar,France,11,Right,5,,AM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3246,Guido Marcelo Carrillo,Guido Marcelo Carrillo,Argentina,21,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3253,Adil Rami,Adil Rami,France,23,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3265,José Luis Sanmartín Mato,José Luis Sanmartín Mato,Spain,9,Right,5,,ST,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3269,Francisco Femenía Far,Francisco Femenía Far,Spain,21,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3292,Abdoulaye Doucouré,Abdoulaye Doucouré,Mali,16,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3302,Nordin Amrabat,Nordin Amrabat,Morocco,7,Right,5,,RW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3308,Kieran Trippier,Kieran Trippier,England,23,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3313,Giovani Lo Celso,Giovani Lo Celso,Argentina,21,Right,5,,CM,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3324,Eric Bertrand Bailly,Eric Bertrand Bailly,Côte d'Ivoire,24,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3362,Marlon Santos da Silva Barbosa,Marlon Santos da Silva Barbosa,Brazil,33,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3366,Diego Carlos Santos Silva,Diego Carlos Santos Silva,Brazil,20,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3379,Alphonse Areola,Alphonse Areola,France,1,Left,5,,GK,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3389,Eliaquim Mangala,Eliaquim Mangala,France,4,Right,5,,CB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3416,Gabriel Moisés Antunes da Silva,Gabriel Moisés Antunes da Silva,Brazil,12,Left,5,,LW,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3417,Saidy Janko,Saidy Janko,Gambia,18,Right,5,,RB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
3434,Stevan Jovetić,Stevan Jovetić,Montenegro,16,Left,5,,LB,2025-07-14 19:26:32.245082 +00:00,2025-07-14 19:26:32.245082 +00:00
